Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,11/14/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Antigua and Barbuda,ATG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,17.48999977,19.28000069,18.54000092,16.87999916,15.19999981,15.64999962,15.85000038,14.47000027,13.11999989,12.09000015,13.47999954,12.80000019,11.97000027,11.36999989,10.61999989,10.02999973,9.369999886,8.819999695,11.46000004,11.55000019,11.38000011,11.72999954,12.22000027,13.31999969,13.14000034,12.67000008,12.60000038
Austria,AUT,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,3.717000008,4.131999969,4.662000179,4.947999954,5.912000179,6.837999821,7.56099987,7.482999802,5.926000118,6.296000004,6.011000156,7.140999794,7.428999901,12.05099964,10.97099972,9.737999916,9.390999794,8.468999863,10.63199997,9.437999725,8.897999763,9.380000114,9.62899971,10.25199986,10.56499958,11.24499989,9.767999649
Azerbaijan,AZE,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,20.66300011,18.09399986,17.93700027,20.85400009,20.60199928,26.46299934,28.85099983,28.44599915,29.87299919,28.40999985,26.45800018,24.43700027,22.74300003,19.8010006,18.20999908,16.6590004,13.92599964,14.38199997,13.86299992,14.73799992,14.60599995,14.06299973,13.54800034,13.42000008,13.31200027,13.49100018,13.79199982
Burundi,BDI,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2.937999964,2.924999952,2.914000034,2.917000055,2.920000076,2.923000097,2.937999964,2.953999996,2.944999933,2.946000099,2.944000006,2.940999985,2.934999943,2.927999973,2.91899991,2.90899992,2.891000032,2.880000114,2.844000101,2.815000057,2.78399992,2.759000063,2.736999989,2.91899991,2.904999971,2.957999945,2.898999929
Belgium,BEL,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,13.95600033,13.19200039,18.45000076,21.91500092,21.56999969,20.4829998,21.28000069,20.37999916,22.6060009,15.28299999,15.39099979,15.68999958,19.00499916,17.50399971,21.44300079,20.44000053,18.76000023,17.92300034,21.90200043,22.40299988,18.76099968,19.78100014,23.74799919,23.22699928,22.12800026,20.09000015,19.2140007
Benin,BEN,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,1.712000012,1.710999966,1.61500001,1.516000032,1.424000025,1.327999949,1.235999942,1.144000053,1.055999994,0.967999995,0.883000016,0.834999979,1.018000007,1.205000043,1.388000011,1.582000017,1.779000044,1.970999956,2.160000086,2.194000006,5.400000095,5.40500021,5.410999775,5.40899992,5.399000168,5.28399992,5.18599987
Burkina Faso,BFA,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,3.812000036,3.778000116,3.78399992,3.77699995,3.75,3.723999977,3.665999889,3.625999928,3.704999924,3.760999918,3.858999968,3.927000046,4.047999859,4.921999931,5.842000008,3.757999897,4.853000164,5.383999825,5.882999897,6.451000214,6.956999779,7.479000092,7.997000217,8.56099987,8.559000015,8.552000046,8.562999725
Bangladesh,BGD,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,4.468999863,4.926000118,5.449999809,5.93200016,6.399000168,6.401000023,7.186999798,8.041999817,8.821000099,9.48900032,8.62899971,7.758999825,6.614999771,7.854000092,8.800999641,7.267000198,8.430000305,9.211999893,10.94999981,6.316999912,7.264999866,8.206999779,10.01299953,10.32600021,10.65400028,11.07900047,11.36499977
Bulgaria,BGR,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,42.29199982,42.65299988,43.45100021,41.17499924,32.6629982,28.39299965,28.46899986,25.52300072,29.70999908,33.25,38.95299911,35.5019989,26.95499992,24.37199974,22.22999954,19.41399956,15.06000042,12.66300011,16.0909996,21.9260006,25.05400085,28.12100029,28.39699936,23.78000069,21.62999916,17.20000076,12.9659996
Bahrain,BHR,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,4.927999973,4.840000153,4.872000217,5.014999866,5.131999969,5.090000153,5.098999977,5.059999943,5.06400013,5.093999863,5.087999821,4.981999874,4.859000206,4.811999798,4.794000149,4.730000019,4.701000214,4.752999783,4.90899992,4.999000072,5.585999966,5.330999851,5.362999916,5.475999832,5.599999905,5.520999908,5.512000084
"Bahamas, The",BHS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,22.63400078,26.96500015,23.03000069,25.10899925,20.79700089,23.73500061,22.22699928,15.28899956,14.90600014,14.78100014,15.16800022,19.25399971,24.04199982,22.07799911,20.15399933,15.68700027,18.98200035,17.02599907,25.93899918,26.32600021,27.31900024,30.88699913,32.63899994,27.87800026,24.30400085,25.63899994,25.67300034
Bosnia and Herzegovina,BIH,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,35.00699997,37.29700089,42.38000107,49.02799988,51.30500031,52.64699936,52.1969986,53.18799973,57.30899811,51.67399979,52.25299835,55.31800079,56.32600021,59.34799957,59.90800095,62.41999817,58.63999939,47.29999924,50.37200165,57.34000015,58.51800156,59.75500107,58.81600189,62.65999985,62.31800079,54.31000137,54.89099884
Belarus,BLR,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,1.375,1.110999942,1.120000005,1.263000011,1.322999954,1.838999987,1.911999941,1.868000031,2.085000038,1.965999961,1.907999992,2.022000074,1.975999951,1.927000046,1.799999952,1.764999986,1.797999978,1.753999949,1.952000022,2.506000042,1.491000056,1.371000051,1.138000011,1.103000045,1.149000049,1.129999995,1.105999947
Belize,BLZ,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,6.342999935,12.2329998,18.36199951,21.65099907,23.25200081,25.66699982,23.4810009,26.52199936,23.88500023,20.48999977,17.04500008,18.93899918,19.45499992,19.97800064,20.98200035,17.89900017,16.22800064,15.5909996,18.18799973,20.32600021,22.71299934,24.74500084,21.61800003,23.13500023,18.97100067,17.74300003,19.75499916
Bermuda,BMU,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,10.93500042,10.24800014,11.12800026,5.835000038,6.059000015,8.447999954,3.434000015,5.426000118,7.484000206,8.449000359,10.1590004,10.16800022,9.142000198,8.116000175,9.067000389,8.37100029,10.89099979,5.598999977,5.018000126,5.087999821,5.153999805,3.303999901,5.326000214,4.633999825,6.815999985,6.322999954,6.500999928
Brazil,BRA,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,10.63300037,11.90999985,11.52999973,11.68599987,11.43000031,12.61999989,14.43999958,17.25,18.29000092,18.68799973,17.89999962,18.02000046,19.04000092,18.06999969,17.17499924,17.76000023,16.79999924,16.11300087,17.81999969,16.26799965,15.34000015,16.12000084,15.96000004,15.82999992,19.90999985,27.25,30.20999908
Barbados,BRB,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,41.59500122,41.52500153,43.62599945,42.25899887,38.06399918,28.28199959,30.23600006,24.53000069,22.54899979,20.85199928,23.05500031,23.26600075,26.00399971,22.29999924,20.85300064,20.94799995,18.04400063,19.71299934,24.18899918,25.82600021,27.00499916,28.94400024,29.36599922,33.69300079,32.29299927,29.31999969,28.95000076
Brunei Darussalam,BRN,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,14.13199997,14.61600018,14.75199986,15.27499962,15.71800041,16.03100014,16.17300034,16.64900017,17.27000046,17.63599968,17.99699974,18.39699936,18.66699982,18.84799957,19.18099976,19.78800011,19.80999947,19.98800087,20.33200073,21.01300049,21.39900017,21.4829998,21.5510006,26.13500023,26.26799965,27.29999924,28.14900017
Bhutan,BTN,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,3.934999943,4.047999859,4.021999836,4.039999962,3.871999979,3.878000021,3.904000044,3.888999939,3.864000082,4.710000038,5.118000031,4.971000195,4.732999802,6.525000095,8.152000427,8.305999756,9.954000473,10.35499954,12.59899998,8.595000267,9.107999802,6.980999947,9.340999603,9.208999634,10,10.1260004,10.18999958
Botswana,BWA,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,25.68700027,27.6970005,31.10700035,37.86700058,38.44400024,36.99599838,34.21699905,30.40600014,27.28700066,24.19000053,39.44900131,38.72299957,43.47800064,40.72700119,38.02199936,32.0340004,32.25099945,32.49900055,32.5019989,35.23699951,35.17100143,35.1590004,35.50500107,35.23099899,34.99700165,35.27299881,35.69599915
Central African Republic,CAF,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,11.41100025,11.38199997,11.40499973,11.5369997,11.45899963,11.32199955,11.50399971,11.45400047,11.45400047,11.38599968,11.4119997,11.40999985,11.32699966,11.44099998,11.43900013,11.46700001,11.46500015,11.43200016,11.42700005,11.44400024,11.44499969,11.45400047,11.27000046,11.41300011,11.45899963,11.02900028,10.61200047
Canada,CAN,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,15.85000038,17.22900009,17.19799995,15.91399956,14.8409996,15.40600014,16.24600029,15.1260004,14.03999996,12.67099953,12.86800003,13.61299992,13.61999989,13.46199989,12.41100025,11.65299988,11.18999958,11.5909996,15.32400036,14.90799999,14.26599979,14.44799995,13.73499966,13.46500015,13.16600037,13.08500004,11.61200047
Central Europe and the Baltics,CEB,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,24.34677748,25.14447582,26.54780383,27.06180283,24.60211357,22.8811917,19.81588606,19.38757539,23.79123675,26.8451557,28.73822612,29.95356159,29.07170465,29.13938847,27.17724923,23.76353968,18.6932209,16.70325748,21.57370064,24.45411017,25.53395313,26.19211635,26.59041276,23.5603362,20.66216225,17.64920423,15.02354574
Switzerland,CHE,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,3.190000057,4.519999981,6.374000072,5.975999832,5.460000038,4.951000214,6.446000099,6.06099987,6.170000076,5.006999969,5.625,5.573999882,8.498999596,7.715000153,8.770000458,7.68599987,7.114999771,7,8.482999802,8.225999832,7.68900013,8.30300045,8.736000061,8.592000008,8.81499958,8.576000214,8.055000305
Channel Islands,CHI,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,20.20899963,19.16699982,17.56800079,16.54899979,17.56699944,17.54599953,17.05900002,17.01799965,16.95899963,16.68300056,17.55699921,17.82699966,16.94300079,17.84700012,17.61400032,18.01799965,18.04700089,20.40099907,21.31699944,18.58200073,18.88299942,18.94599915,18.45700073,17.65600014,18.30900002,18.57999992,19.04000092
Chile,CHL,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,12.43999958,10.63799953,10.79500008,13.09799957,10.88300037,15.16600037,14.82199955,15.2159996,21.72900009,21.33799934,20.99699974,21.62599945,21.17399979,20.97400093,19.83600044,18.47400093,17.79100037,19.8560009,22.79800034,19.12199974,18.01099968,16.86100006,16.77599907,17.13400078,16.22900009,16.08699989,17.15099907
China,CHN,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,10.88399982,9.619999886,9.472000122,9.5,10.03499985,10.13899994,10.16600037,10.49800014,10.42300034,9.993000031,9.99600029,9.694000244,9.418000221,9.421999931,9.020999908,9.06799984,8.43999958,10.0340004,9.93599987,9.625,9.998999596,10.34599972,10.52999973,10.67000008,10.82999992,10.875,10.80000019
Cote d'Ivoire,CIV,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,9.352999687,9.355999947,8.440999985,7.525000095,5.730000019,5.731999874,5.734000206,5.71600008,5.579999924,5.447999954,5.342999935,5.224999905,5.113999844,5.014999866,4.90500021,4.790999889,4.678999901,4.568999767,4.460000038,4.339000225,4.204999924,4.149000168,4.032999992,3.917999983,3.803999901,3.713999987,3.697999954
Cameroon,CMR,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,14.07699966,14.08399963,14.08300018,14.08899975,14.24800014,14.30500031,14.1079998,13.88199997,13.64400005,13.41699982,13.23400021,11.89099979,10.56000042,9.272000313,7.835999966,6.511000156,5.184999943,5.743000031,6.30700016,6.309000015,6.992000103,7.671999931,8.362000465,9.046999931,9.045000076,9.024000168,8.944000244
"Congo, Dem. Rep.",COD,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,7.164000034,7.15899992,7.152999878,7.168000221,7.248000145,7.201000214,7.163000107,7.178999901,7.179999828,7.162000179,7.198999882,7.249000072,7.275000095,7.285999775,7.28000021,7.271999836,7.28000021,7.28000021,7.247000217,7.288000107,7.284999847,7.285999775,7.302000046,7.30700016,7.284999847,7.289999962,7.311999798
"Congo, Rep.",COG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,40.22100067,40.22600174,40.0909996,40.03499985,40.26699829,40.27600098,40.09199905,40.25400162,40.0530014,40.38600159,40.25600052,40.2840004,40.15000153,40.24599838,40.39300156,38.47600174,36.35599899,34.7159996,33.27099991,30.18499947,27.10000038,20.74600029,20.7329998,20.82699966,20.71699905,21.5189991,22.46199989
Colombia,COL,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,19.35400009,18.26499939,15.06700039,15.88899994,16.52199936,22.12299919,23.05999947,28.54400063,38.24000168,39.20399857,27.80500031,28.71699905,26.72400093,26.49300003,23.83600044,25.24300003,22.01600075,22.58600044,23.58200073,21.80999947,21.14100075,19.49900055,18.09199905,17.9090004,17.56800079,17.19199944,18.05999947
Comoros,COM,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,10.0539999,10.13000011,10.09399986,10.04599953,10.09000015,10.04300022,10.08100033,10.04599953,10.04300022,10.02799988,10.03600025,10.03299999,10.00599957,9.968000412,9.998999596,9.963000298,9.94699955,9.94299984,9.942000389,9.93500042,9.930999756,9.930999756,9.930000305,9.907999992,9.890999794,9.921999931,9.954000473
Cabo Verde,CPV,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,17.60400009,17.62299919,17.68199921,17.6760006,17.69000053,17.68499947,17.71199989,17.72800064,17.74799919,17.71199989,17.68499947,17.66300011,17.68899918,17.64699936,17.66300011,17.71100044,17.72400093,17.7140007,17.64800072,17.69300079,17.76199913,17.74699974,17.77499962,17.8029995,17.83200073,17.95000076,17.79899979
Costa Rica,CRI,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,11.21000004,7.717000008,8.387999535,8.331000328,11.84399986,12.3760004,12,12.02999973,13.67800045,11.30099964,13.69200039,14.55799961,15.01399994,14.49300003,15.2840004,14.17800045,11.19099998,11.14299965,18.24500084,21.86599922,22.25799942,23.18400002,22.89999962,25.11499977,23.09900093,23.42200089,21.00499916
Caribbean small states,CSS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,33.40454452,32.910087,33.35042207,29.57709198,32.03049825,30.87441115,31.24152348,30.66287435,30.25124396,29.38364504,27.62860681,27.43974277,23.05834081,24.22823193,23.0297006,20.25351744,19.40618953,20.68997108,22.63602858,24.33666011,24.22939528,26.84557402,27.3085284,25.80782103,24.67964782,24.88086449,24.45078943
Cuba,CUB,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,17.88400078,17.65800095,17.42399979,16.61000061,16.38899994,15.32199955,14.52600002,12.94299984,13.18599987,11.59799957,8.736000061,7.105999947,5.005000114,3.97300005,4.183000088,3.592000008,3.470000029,3.153000116,3.532999992,6.084000111,6.697000027,7.327000141,7.013999939,5.793000221,5.178999901,5.427000046,5.517000198
Curacao,CUW,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,6.202000141,4.756999969,7.31400013,6.823999882,7.301000118,10.37199974,10.94799995,10.83100033,11.93400002,9.758000374,7.798999786,7.418000221,8.484000206,8.300999641,12.90699959,9.479000092,9.517000198,8.43599987,12.87899971,15.59399986,20.88100052,26.53499985,36.97999954,34.43899918,31.29199982,27.79400063,23.82999992
Czech Republic,CZE,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,4.691999912,6.546999931,8.390000343,8.661999702,7.764999866,7.18200016,6.940000057,10.75800037,16.51000023,16.86700058,16.16500092,15.26299953,16.67700005,19.82900047,19.26399994,17.5510006,10.77400017,9.876999855,16.67000008,18.3560009,18.04100037,19.50799942,18.96899986,15.86100006,12.60700035,10.49800014,7.967000008
Germany,DEU,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,5.513000011,5.971000195,7.671000004,8.965000153,8.467000008,9.633000374,10.66600037,9.789999962,8.887000084,8.548000336,7.788000107,9.284000397,11.02700043,12.99300003,15.53100014,13.75300026,11.90499973,10.54899979,11.21500015,9.831000328,8.517999649,8.043000221,7.822000027,7.742000103,7.217999935,7.032000065,6.765999794
Djibouti,DJI,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,11.33699989,11.38000011,11.34200001,11.36100006,11.35299969,11.35200024,11.36299992,11.37800026,11.4119997,11.38599968,11.39999962,11.42000008,11.42199993,11.42000008,11.42599964,11.44900036,11.45199966,11.4630003,11.41300011,11.44699955,11.49300003,11.46199989,11.46800041,11.48600006,11.49699974,11.62199974,11.6960001
Dominica,DMA,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,11.48700047,12.29899979,14.5710001,10.17700005,9.923000336,10.59000015,8.102999687,7.177000046,9.899999619,6.735000134,8.217000008,7.032000065,9.81799984,7.776000023,8.604999542,7.681000233,7.492000103,7.979000092,11.80900002,13.94400024,14.20699978,14.1079998,13.00199986,12.56000042,10.79800034,11.93400002,10.97099972
Dominican Republic,DOM,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,14.09599972,12.68200016,13.05200005,13.82600021,13.31200027,13.28299999,12.85599995,13.2159996,13.36800003,13.59899998,13.95400047,13.62300014,14.38199997,13.88899994,12.86699963,10.49199963,11.81700039,10.22900009,11.94999981,10.29699993,13.25199986,14.27400017,16.875,12.90100002,13.55099964,12.40100002,12.43500042
Algeria,DZA,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,40.64500046,43.68399811,46.49499893,48.70399857,55.55199814,49.65000153,44.08100128,46.23300171,48.94599915,51.39799881,47.06299973,47.54100037,46.68099976,35.16500092,30.71299934,23.89500046,27.33399963,23.95800018,21.51799965,21.85400009,22.5359993,27.57699966,25.05699921,25.77799988,29.89800072,24.25699997,24.3010006
East Asia & Pacific (excluding high income),EAP,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,9.807623846,8.842948771,8.812630022,8.864022027,9.32942209,9.432520797,9.854227677,10.54426474,10.77027286,10.44923334,10.46910591,10.39438891,10.13214688,10.28532633,10.40280198,10.40535254,9.792914464,10.50551213,10.37512957,9.966447195,10.17129868,10.03489,10.17706531,10.29399792,10.6100987,10.40626769,10.37723836
Early-demographic dividend,EAR,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,10.66609565,10.61381395,11.0345339,11.18518815,11.90938413,12.046118,12.4698453,12.880857,13.24175578,13.80986119,14.13438694,14.63801685,14.2694652,13.96944142,14.13631405,13.49861062,13.13395792,13.32138975,13.43686151,12.74969388,12.81663961,13.0336699,12.90063071,12.70672691,13.12497032,13.12480914,13.17717348
East Asia & Pacific,EAS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,9.460111687,8.610754938,8.636370652,8.654231914,9.071031694,9.208142813,9.621242567,10.50637671,10.74483204,10.36320896,10.43504561,10.37160526,10.16130615,10.26123257,10.32496052,10.29119639,9.691836031,10.35134296,10.37318389,9.990460778,10.1249809,9.982540507,10.07688925,10.1802986,10.43960173,10.2348199,10.17466878
Europe & Central Asia (excluding high income),ECA,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,16.76238128,15.51842116,15.50495035,16.54012314,17.66867709,18.46250382,20.04116764,21.60278766,21.97064324,19.30680029,18.6778892,19.36553965,19.35985653,18.78084212,17.70353016,16.90367347,16.08881975,15.96135117,19.11539019,18.20300783,17.13054738,16.59820249,16.6329637,17.37117466,17.92284218,17.85763293,17.89149537
Europe & Central Asia,ECS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,17.35651109,17.36111062,18.99750919,20.16120605,20.38648253,20.7695368,21.03382482,21.06534431,21.31931176,19.41334798,18.54327586,19.15846517,19.3382711,19.17399663,18.61234797,17.467658,16.04497269,15.98591747,19.79833942,19.90667377,19.74601849,20.4242842,20.9090972,20.68548453,20.12159977,19.2865268,18.27681077
Ecuador,ECU,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,11.82800007,18.18899918,17.09499931,14.68799973,14.17300034,20.20800018,19.07999992,23.61300087,29.34700012,18.06200027,20.79199982,17.45899963,21.8409996,18.09600067,15.52499962,16.38500023,13.02400017,15.80099964,14.20199966,9.376999855,8.984000206,8.645999908,8.418999672,9.065999985,8.838999748,10.38099957,8.512000084
